,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_objective,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
214,8.108342504501342,0.33765487721931353,0.12407107353210449,0.010832957105346102,0.003,10,400,multi:softprob,"{'learning_rate': 0.003, 'max_depth': 10, 'n_estimators': 400, 'objective': 'multi:softprob'}",0.9800697207043656,0.979819967915002,0.9795780207085096,0.9789114330397555,0.9799015297308957,0.9796561344197057,0.00040467166566747297,289
215,9.885835075378418,0.03322519268972862,0.15361108779907226,0.014267767422719737,0.003,10,500,multi:softprob,"{'learning_rate': 0.003, 'max_depth': 10, 'n_estimators': 500, 'objective': 'multi:softprob'}",0.9806853326230807,0.9798617695580647,0.9798235249987457,0.9789119245651551,0.9799831728555802,0.9798531449201253,0.0005650294005945506,267
216,0.30587172508239746,0.04386936937793105,0.015399694442749023,0.0017425910247679992,0.01,3,30,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 30, 'objective': 'multi:softprob'}",0.9634190541454161,0.9631315565473348,0.9626755016365367,0.9603980785140259,0.9620506183117042,0.9623349618310035,0.0010731407054027492,702
217,0.3484775543212891,0.010684633340658646,0.015209674835205078,0.0003953070633773936,0.01,3,40,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 40, 'objective': 'multi:softprob'}",0.9632126132760283,0.9632550909039896,0.9627182513240421,0.9604802900505985,0.9620506183117042,0.9623433727732726,0.0010280199740891108,700
218,0.4193901538848877,0.008794868355756878,0.01622152328491211,0.0003897864217971071,0.01,3,50,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'objective': 'multi:softprob'}",0.9644489459216434,0.9647801814900473,0.9629655432115146,0.9605207419634347,0.9634935455994529,0.9632417916372187,0.0015078242194032697,687
219,0.6198219776153564,0.011187258625788907,0.019606924057006835,0.0007945083796250522,0.01,3,75,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 75, 'objective': 'multi:softprob'}",0.963995317048169,0.9642442392854987,0.9628829547612454,0.960602919590904,0.9631218434745239,0.9629694548320682,0.0012890820220145128,693
220,0.800776481628418,0.009941973482344126,0.021739864349365236,0.0006127897862158446,0.01,3,100,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'objective': 'multi:softprob'}",0.9638715314341002,0.9642029930463898,0.9624291746505356,0.9614280310699674,0.9627087989651009,0.962928105833219,0.0010062446415764258,696
221,1.6247195243835448,0.023941091803019288,0.03842310905456543,0.007550879389368155,0.01,3,200,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'objective': 'multi:softprob'}",0.9650658571157008,0.9652326854935672,0.9635407611325049,0.9622942491973233,0.963286863277164,0.9638840832432519,0.0011151171748631607,672
222,2.3939282417297365,0.020462630038475118,0.04540071487426758,0.0012002071748629668,0.01,3,300,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'objective': 'multi:softprob'}",0.9697624165509756,0.9700113352416717,0.9688163723188647,0.9676930243001094,0.9688500489473343,0.9690266394717911,0.0008203559696304256,645
223,3.209013080596924,0.02672904440233074,0.05291428565979004,0.007648473107902279,0.01,3,400,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'objective': 'multi:softprob'}",0.9725604223632276,0.9726048240290462,0.9713272138663488,0.9703688617788899,0.9721025088438872,0.9717927661762801,0.0008472210082291066,629
224,4.052826833724976,0.03874507962143846,0.06892309188842774,0.0006662236561024398,0.01,3,500,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'objective': 'multi:softprob'}",0.9739271739581794,0.973633942566552,0.9738462367338588,0.9722243541916417,0.9738319771603118,0.9734927369221087,0.0006414850550719068,586
225,0.2954551696777344,0.0035278676978239996,0.015520048141479493,0.0006321777564550056,0.01,4,30,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 30, 'objective': 'multi:softprob'}",0.9662191883970592,0.9650242715155052,0.9646368167028707,0.9608518732431913,0.9641111159438557,0.9641686531604965,0.0017977927677771538,663
226,0.3820498466491699,0.005169220114326441,0.017411327362060545,0.00038496043373420117,0.01,4,40,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 40, 'objective': 'multi:softprob'}",0.9661368551046674,0.9654772537523506,0.964759917920959,0.9615942837307053,0.9641113426331184,0.9644159306283602,0.0015659361510630173,661
227,0.4692372798919678,0.006373761997755768,0.018805932998657227,0.0007496907501091369,0.01,4,50,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 50, 'objective': 'multi:softprob'}",0.9664254064525969,0.9653949023813762,0.9640770973998195,0.9619241134750969,0.9641525879514722,0.9643948215320723,0.0015091362336910209,662
228,0.6896728992462158,0.010444540193509398,0.022817516326904298,0.0008104179431080316,0.01,4,75,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 75, 'objective': 'multi:softprob'}",0.966711968125856,0.9659716800117477,0.9647368736718865,0.963120439926437,0.9651006750194141,0.9651283273510682,0.0012169448926084155,653
229,0.9159096240997314,0.020578896199997126,0.02871360778808594,0.003931889070420535,0.01,4,100,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100, 'objective': 'multi:softprob'}",0.9679082664702181,0.9672495404691435,0.9659328737312693,0.9638235952663822,0.9655542872410832,0.9660937126356192,0.0014211843919028557,649
230,1.7823308944702148,0.004397210160507012,0.043107461929321286,0.0021754439743597725,0.01,4,200,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 200, 'objective': 'multi:softprob'}",0.9739342781939337,0.9729731255081476,0.9721324832514207,0.9705489733287965,0.9726504623722338,0.9724478645309066,0.001116389153123378,612
231,2.6728816509246824,0.017216930131414624,0.0632237434387207,0.008012198105244695,0.01,4,300,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300, 'objective': 'multi:softprob'}",0.9754276706504893,0.9749264636292729,0.9741483188335953,0.9721621276012538,0.9739405682991357,0.9741210298027495,0.001115942904848299,574
232,3.5307329177856444,0.029444596592126393,0.07432942390441895,0.0020132603450637035,0.01,4,400,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 400, 'objective': 'multi:softprob'}",0.9761264519809143,0.9758720744506936,0.9747646545003237,0.973273899778378,0.9749691718400625,0.9750012505100744,0.0010064949029903393,564
233,4.464047050476074,0.10242219743561583,0.08674817085266114,0.00678885728226628,0.01,4,500,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 500, 'objective': 'multi:softprob'}",0.9769072629729979,0.9764066305396183,0.975627841532606,0.9746722494269412,0.9755031827435509,0.9758234334431428,0.0007721200228381618,541
234,0.32623939514160155,0.013551178303066265,0.016204214096069335,0.000680097020325067,0.01,5,30,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 30, 'objective': 'multi:softprob'}",0.9739013522740383,0.971968845823766,0.9714737177877173,0.9697715514811742,0.9722151736165787,0.9718661281966549,0.0013278372044288112,626
235,0.41298661231994627,0.007831802712043482,0.018606901168823242,0.0007338079546886654,0.01,5,40,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 40, 'objective': 'multi:softprob'}",0.9740248536388483,0.9719676393033464,0.97151483761965,0.9698127287099916,0.9723386101839847,0.9719317338911642,0.001357348389579276,618
236,0.5175667762756347,0.01774279674979204,0.020005321502685545,0.0007077904469818706,0.01,5,50,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'objective': 'multi:softprob'}",0.9741082844873398,0.9725838384520291,0.9713503999561265,0.9700185778981099,0.9724209194605508,0.9720964040508312,0.0013612089529290875,616
237,0.7513057231903076,0.012313389765742198,0.027825450897216795,0.00512869314920565,0.01,5,75,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 75, 'objective': 'multi:softprob'}",0.9740668876533239,0.9737770752162113,0.9719674486647583,0.9709244806415638,0.9729557294028489,0.9727383243157413,0.0011640985431421592,606
238,0.9991234302520752,0.007283545501434357,0.02980360984802246,0.0006734000067265257,0.01,5,100,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'objective': 'multi:softprob'}",0.9747647414592208,0.9745584697402081,0.9736958040672155,0.971130646622788,0.9737786825857425,0.973585668895035,0.0012971562738672252,582
239,1.9679742336273194,0.01322408071535388,0.048815441131591794,0.0022002205892712595,0.01,5,200,multi:softprob,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'objective': 'multi:softprob'}",0.976864656842894,0.9771466144445258,0.9772322032022609,0.9746279745600633,0.976942833935171,0.976562856596983,0.000976527804553214,516
